aplaudirati,aplaudira,aplaudirao,aplaudirala,aplaudiralo,aplaudirace aplaudiracu aplaudiraces
trcati,trci,trcao,trcala,trcalo,trcace trcacu trcaces
istrcati,istrci,istrcao,istrcala,istrcalo,istrcace istrcacu istrcaces
cuvati,cuva,cuvao,cuvala,cuvalo,cuvace cuvacu cuvaces
stedeti,stedi,stedeo,stedela,stedelo,stedece stedecu stedeces
razgovarati,razgovara,razgovarao,razgovarala,razgovaralo,razgovarace razgovaracu razgovaraces
govoriti,govori,govorio,govorila,govorilo,govorice govoricu govorices
pricati,prica,pricao,pricala,pricalo,pricace pricacu pricaces
kazati,kaze,kazao,kazala,kazalo,kazace kazacu kazaces
reci,reci,rekao,rekla,reklo,recice recicu recices
tuci,tuce,tukao,tukla,tuklo,tucice tucicu tucices
biti,bi,bio,bila,bilo,bice bicu bices
udariti,udari,udario,udarila,udarilo,udarice udaricu udarices
osamariti,osamari,osamario,osamarila,osamarilo,osamarice osamaricu osamarices
odalamiti,odalami,odalamio,odalamila,odalamilo,odalamice odalamicu odalamices
boriti,bori,borio,borila,borilo,borice boricu borices
blagodariti,blagodari,blagodario,blagodarila,blagodarilo,blagodarice blagodaricu blagodarices
darovati,dariva,darivao,darivala,darivalo,darivace darivacu darivaces
zahvaljivati,zahvaljiva,zahvaljivao,zahvaljivala,zahvaljivalo,zahvaljivace zahvaljivacu zahvaljivaces
zahvaliti,zahvali,zahvalio,zahvalila,zahvalilo,zahvalice zahvalicu zahvalices
blistati,blista,blistao,blistala,blistalo,blistace blistacu blistaces
sijati,sija,sijao,sijala,sijalo,sijace sijacu sijaces
presijavati,presijava,presijavao,presijavala,presijavalo,presijavace presijavacu presijavaces
isijavati,isijava,isijavao,isijavala,isijavalo,isijavace isijavacu isijavaces
boleti,boli,boleo,bolela,bolelo,bolece bolecu boleces
bolovati,boluje,bolovao,bolovala,bolovalo,bolovace bolovacu bolovaces
preboleti,preboli,preboleo,prebolela,prebolelo,prebolece prebolecu preboleces
navijati,navija,navijao,navijala,navijalo,navijace navijacu navijaces
zavijati,zavija,zavijao,zavijala,zavijalo,zavijace zavijacu zavijaces
uvijati,uvija,uvijao,uvijala,uvijalo,uvijace uvijacu uvijaces
bojati,boji,bojao,bojala,bojalo,bojace bojacu bojaces
plasiti,plasi,plasio,plasila,plasilo,plasice plasicu plasices
strahovati,strahuje,strahovao,strahovala,strahovalo,strahovace strahovacu strahovaces
bojiti,boji,bojio,bojila,bojilo,bojice bojicu bojices
bacati,baca,bacao,bacala,bacalo,bacace bacacu bacaces
brati,bere,brao,brala,bralo,brace bracu braces
ubrati,ubere,ubrao,ubrala,ubralo,ubrace ubracu ubraces
nabrati,nabere,nabrao,nabrala,nabralo,nabrace nabracu nabraces
uzimati,uzima,uzimao,uzimala,uzimalo,uzimace uzimacu uzimaces
otimati,otima,otimao,otimala,otimalo,otimace otimacu otimaces
juriti,juri,jurio,jurila,jurilo,jurice juricu jurices
zuriti,zuri,zurio,zurila,zurilo,zurice zuricu zurices
ostaviti,ostavlja,ostavio,ostavila,ostavilo,ostavljace ostavljacu ostavljaces
prestati,prestaje,prestajao,prestajala,prestajalo,prestajace prestajacu prestajaces
pojuriti,pojuri,pojurio,pojurila,pojurilo,pojurice pojuricu pojurices
pozuriti,pozuri,pozurio,pozurila,pozurilo,pozurice pozuricu pozurices
buditi,budi,budio,budila,budilo,budice budicu budices
probuditi,probudi,probudio,probudila,probudilo,probudice probudicu probudices
bivati,biva,bivao,bivala,bivalo,bivace bivecu bivaces
desavati,desava,desavao,desavala,desavalo,desavace desavacu desavaces
izvrsavati,izvrsava,izvrsavao,izvrsavala,izvrsavalo,izvrsavace izvrsavacu izvrsavaces
delati,dela,delao,delala,delalo,delace delacu delaces
deliti,deli,delio,delila,delilo,delice delicu delices
kuvati,kuva,kuvao,kuvala,kuvalo,kuvace kuvacu kuvaces
prekuvati,prekuva,prekuvao,prekuvala,prekuvalo,prekuvace prekuvacu prekuvaces
zakuvati,zakuva,zakuvao,zakuvala,zakuvalo,zakuvace zakuvacu zakuvaces
mesiti,mesi,mesio,mesila,mesilo,mesice mesicu mesices
peci,pece,pekao,pekla,peklo,pecice pecicu pecices
voziti,vozi,vozio,vozila,vozilo,vozice vozicu vocizes
narediti,naredi,naredio,naredila,naredilo,naredice naredicu naredices
naredjivati,naredjuje,naredjivao,naredjivala,naredjivalo,naredjivace naredjivacu naredjivaces
urediti,uredi,uredio,uredila,uredilo,uredice uredicu uredices
poredjati,poredjuje,poredjivao,poredjivala,poredjivalo,poredjivace poredjivacu poredjivaces
verovati,veruje,verovao,verovala,verovalo,verovace verovacu verovaces
vratiti,vraca,vratio,vratila,vratilo,vratice vraticu vratices
povratiti,povraca,povratio,povratila,povratilo,povratice povraticu povratices
svratiti,svraca,svratio,svratila,svratilo,svratice svraticu svratices
voditi,vodi,vodio,vodila,vodilo,vodice vodicu vodices
vesati,vesa,vesao,vesala,vesalo,vesace vesacu vesaces
obesiti,obesi,obesio,obesila,obesilo,obesice obesicu obesices
okaciti,okaci,okacio,okacila,okacilo,okacice okacicu okacices
uznemiriti,uznemiri,uznemirio,uznemirila,uznemirilo,uznemirice uznemiricu uznemirices
pogledati,pogleda,pogledao,pogledala,pogledalo,pogledace pogledacu pogledaces
ugledati,ugleda,ugledao,ugledala,ugledalo,ugledace ugledacu ugledaces
pregledati,pregleda,pregledao,pregledala,pregledalo,pregledace pregledacu pregledaces
gledati,gleda,gledao,gledala,gledalo,gledace gledacu gledaces
uzdahnuti,uzdahne,uzdahnuo,uzdahnula,uzdahnulo,uzdahnuce uzdahnucu uzdahnuces
predahnuti,predahne,predahnuo,predahnula,predahnulo,predahnuce predahnucu predahnuces
izdahnuti,izdahne,izdahnuo,izdahnula,izdahnulo,izdahnuce izdahnucu izdahnuces
uzdisati,uzdise,uzdisao,uzdisala,uzdisalo,uzdisace uzdicacu uzdisaces
disati,dise,disao,disala,disalo,disace dicacu disaces
izaci,izadje,izasao,izasla,izaslo,izacice izacicu izacices
popeti,penje,popeo,popela,popelo,popece popecu popeces
penjati,penje,penjao,penjala,penjalo,penjace penjacu penjaces
uzeti,uzme,uzeo,uzela,uzelo,uzece uzecu uzeces
preuzeti,preuzme,preuzeo,preuzela,preuzelo,preuzece preuzecu preuzeces
videti,vidi,video,videla,videlo,videce videcu videces
predvideti,predvidi,predvideo,predvidela,predvidelo,predvidece predvidecu predvideces
istaci,istice,isticao,isticala,isticalo,isticace isticacu isticaces
kriviti,krivi,krivio,krivila,krivilo,krivice krivicu krivices
okriviti,okrivi,okrivio,okrivila,okrivilo,okrivice okrivicu okrivices
zakriviti,zakrivi,zakrivio,zakrivila,zakrivilo,zakrivice zakrivicu zakrivices
visiti,visi,visio,visila,visilo,visice visicu visices
ukljuciti,ukljuci,ukljucio,ukljucila,ukljucilo,ukljucice ukljucicu ukljucices
prikljuciti,prikljuci,prikljucio,prikljucila,prikljucilo,prikljucice prikljucicu prikljucices
zakljuciti,zakljuci,zakljucio,zakljucila,zakljucilo,zakljucice zakljucicu zakljucices
zakljucati,zakljuca,zakljucao,zakljucala,zakljucalo,zakljucace zakljucacu zakljucaces
iskljuciti,iskljuci,iskljucio,iskljucila,iskljucilo,iskljucice iskljucicu iskljucices
vladati,vlada,vladao,vladala,vladalo,vladace vladacu vladaces
unositi,unosi,unosio,unosila,unosilo,unosice unosicu unosices
uneti,unosi,uneo,unela,unelo,unece unecu unosices
petljati,petlja,petljao,petljala,petljalo,petljace petljacu petljaces
brinuti,brine,brinuo,brinula,brinulo,brinuce brinucu brinuces
vaspitati,vaspita,vaspitao,vaspitala,vaspitalo,vaspitace vaspitacu vaspitaces
vaspitavati,vaspitava,vaspitavao,vaspitavala,vaspitavalo,vaspitavace vaspitavacu vaspitavaces
skociti,skace,skakao,skakala,skalalo,skakace skakacu skakaces
secati,seca,secao,secala,secalo,secace secacu secaces
podsecati,podseca,podsecao,podsecala,podsecalo,podsecace podsecacu podsecaces
prisecati,priseca,prisecao,prisecala,prisecalo,prisecace prisecacu prisecaces
ustati,ustaje,ustajao,ustajala,ustajalo,ustajace ustajacu ustajaces
cekati,ceka,cekao,cekala,cekalo,cekace cekacu cekaces
docekati,doceka,docekao,docekala,docekalo,docekace docekacu docekaces
pricekati,priceka,pricekao,pricekala,pricekalo,pricekace pricekacu pricekaces
naci,nadje,nasao,nasla,naslo,nacice nacicu nacices
pronaci,pronadje,pronasao,pronasla,pronaslo,pronacice pronacicu pronacices
sretati,srece,sretao,sretala,sretalo,sretace sretacu sretaces
sresti,srece,sretao,sretala,sretalo,sretace sretacu sretaces
presretati,presrece,presretao,presretala,presretalo,presretace presretacu presretaces
presresti,presrece,presretao,presretala,presretalo,presretace presretacu presretaces
stupati,stupa,stupao,stupala,stupalo,stupace stupacu stupaces
stupiti,stupa,stupio,stupila,stupilo,stupice stupicu stupices
ulaziti,ulazi,ulazio,ulazila,ulazilo,ulazice ulazicu ulazices
birati,bira,birao,birala,biralo,birace biracu biraces
probirati,probira,probirao,probirala,probiralo,probirace probiracu probiraces
peglati,pegla,peglao,peglala,peglalo,peglace peglacu peglaces
ispeglati,ispegla,ispeglao,ispeglala,ispeglalo,ispeglace ispeglacu ispeglaces
izgledati,izgleda,izgledao,izgledala,izgledalo,izgledace izgledacu izgledaces
podneti,podnosi,podneo,podnela,podnelo,podnosice podnosicu podnosices
izdrzati,izdrzi,izdrzao,izdrzala,izdrzalo,izdrzace izdrzacu izdrzaces
poloziti,polozi,polozio,polozila,polozilo,polozice polozicu polozices
ici,ide,isao,isla,islo,icice icicu icices
otici,ode,otisao,otisla,otislo,oticice oticicu oticices
izaci,izlazi,izasao,izasla,izaslo,izacice izacicu izacices
otputovati,otputuje,otputovao,otputovala,otputovalo,otputovace otputovacu otputovaces
putovati,putuje,putovao,putovala,putovalo,putovace putovacu putovaces
doputovati,doputuje,doputovao,doputovala,doputovalo,doputovace doputovacu doputovaces
pozvati,poziva,pozivao,pozivala,pozivalo,pozivace pozivacu pozivaces
prizvati,priziva,prizivao,prizivala,prizivalo,prizivace prizivacu prizivaces
dozvati,doziva,dozivao,dozivala,dozivalo,dozivace dozivacu dozivaces
zvati,zove,zvao,zvala,zvalo,zvace zvacu zvaces
ozdraviti,ozdravi,ozdravio,ozdravila,ozdravilo,ozdravice ozdravicu ozdravices
prezdraviti,prezdravi,prezdravio,prezdravila,prezdravilo,prezdravice prezdravicu prezdravices
zdraviti,zdravi,zdravio,zdravila,zdravilo,zdravice zdravicu zdravices
pozivati,pozove,pozvao,pozvala,pozvalo,pozvace pozvacu pozvaces
prizivati,prizove,prizvao,prizvala,prizvalo,prizvace prizvacu prizvaces
dozivati,doziva,dozivao,dozivala,dozivalo,dozivace dozivacu dozivaces
prozivati,proziva,prozivao,prozivala,prozivalo,prozivace prozivacu prozivaces
nazivati,naziva,nazivao,nazivala,nazivalo,nazivace nazivacu nazivaces
igrati,igra,igrao,igrala,igralo,igrace igracu igraces
